canonical_id,openalex_id,doi,title,year,publication_date,venue,work_type,cited_by,category,class_score,margin,seed_sim,rank_score,needs_review,review_reason,source,matched_query,llm_relevant,llm_class,llm_subtopic,llm_confidence,llm_reason,llm_decision,llm_model,llm_prompt_version,llm_reviewed_at
title:safetycriticalscenariogenerationviareinforcementlearningbasedediting,W4382322390,10.48550/arxiv.2306.14131,Safety-Critical Scenario Generation Via Reinforcement Learning Based Editing,2023,2023-06-25,arXiv (Cornell University),preprint,0,Trajectory-related,0.667,0.3306,0.7096,0.7096,False,,auto-discovered,"""safety-critical scenario"" ""self-driving""",,,,,,,,,
title:discdatasetforanalyzingdrivingstylesinsimulatedcrashesformixedautonomy,W4407122957,10.48550/arxiv.2502.00050,DISC: Dataset for Analyzing Driving Styles In Simulated Crashes for Mixed Autonomy,2025,2025-01-28,arXiv (Cornell University),preprint,0,Trajectory-related,0.7471,0.339,0.6895,0.7095,False,,auto-discovered,"""rare event"" ""automated vehicle""",,,,,,,,,
title:areviewofmultisensorfusioninautonomousdriving,W4414704765,10.3390/s25196033,A Review of Multi-Sensor Fusion in Autonomous Driving,2025,2025-10-01,Sensors,article,49,Perception-related,0.6401,0.277,0.689,0.709,False,,auto-discovered,"""edge case"" ""autonomous driving""",,,,,,,,,
title:securingdnnforsmartvehiclesanoverviewofadversarialattacksdefensesandframeworks,W4323045133,10.1186/s44147-023-00184-x,"Securing DNN for smart vehicles: an overview of adversarial attacks, defenses, and frameworks",2023,2023-03-03,Journal of Engineering and Applied Science,article,15,Perception-related,0.6661,0.2864,0.7089,0.7089,False,,auto-discovered,"""corner case"" ""autonomous vehicle""",,,,,,,,,
title:safetyvalidationforconnectedautonomousvehiclesusinglargescaletestingtracksinhighfidelitysimulationenvironment,W4408558711,10.1016/j.aap.2025.108011,Safety validation for connected autonomous vehicles using large-scale testing tracks in high-fidelity simulation environment,2025,2025-03-18,Accident Analysis & Prevention,article,24,Trajectory-related,0.7354,0.394,0.6888,0.7088,False,,auto-discovered,"""surrogate safety"" ""autonomous vehicle""",,,,,,,,,
title:reviewofscenariovirtualtestingtechnologyforautonomousvehiclesmigrationchallengesbetweensymmetricframeworksandasymmetricscenarios,W4414099353,10.3390/sym17091503,Review of Scenario Virtual Testing Technology for Autonomous Vehicles: Migration Challenges Between Symmetric Frameworks and Asymmetric Scenarios,2025,2025-09-10,Symmetry,article,1,Trajectory-related,0.7025,0.387,0.6888,0.7088,False,,auto-discovered,"""rare event"" ""automated driving""",,,,,,,,,
title:predictedembeddingpowerregressionforlargescaleoutofdistributiondetection,W4323651398,10.48550/arxiv.2303.04115,Predicted Embedding Power Regression for Large-Scale Out-of-Distribution Detection,2023,2023-03-07,arXiv (Cornell University),preprint,0,Perception-related,0.7073,0.4385,0.7085,0.7085,False,,auto-discovered,"""out-of-distribution"" ""self-driving""",,,,,,,,,
title:revisitingoutofdistributiondetectioninlidarbased3dobjectdetection,W4395483890,10.48550/arxiv.2404.15879,Revisiting Out-of-Distribution Detection in LiDAR-based 3D Object Detection,2024,2024-04-24,arXiv (Cornell University),preprint,0,Perception-related,0.7365,0.4117,0.6985,0.7085,False,,auto-discovered,"""out-of-distribution"" ""automated driving""",,,,,,,,,
title:learningrepresentationforanomalydetectionofvehicletrajectories,W4323922001,10.48550/arxiv.2303.05000,Learning Representation for Anomaly Detection of Vehicle Trajectories,2023,2023-03-09,arXiv (Cornell University),preprint,0,Perception-related,0.6956,0.3178,0.7085,0.7085,False,,auto-discovered,"""novelty detection"" ""autonomous driving""",,,,,,,,,
title:scalingplanningforautomateddrivingusingsimplisticsyntheticdata,W4378945305,10.48550/arxiv.2305.18942,Scaling Planning for Automated Driving using Simplistic Synthetic Data,2023,2023-05-30,arXiv (Cornell University),preprint,1,Trajectory-related,0.6752,0.2766,0.7084,0.7084,False,,auto-discovered,"""critical scenario"" ""automated driving""",,,,,,,,,
title:goosegoalconditionedreinforcementlearningforsafetycriticalscenariogeneration,W4399454866,10.48550/arxiv.2406.03870,GOOSE: Goal-Conditioned Reinforcement Learning for Safety-Critical Scenario Generation,2024,2024-06-06,arXiv (Cornell University),preprint,0,Trajectory-related,0.6894,0.3625,0.6982,0.7082,False,,auto-discovered,"""rare event"" ""automated driving""",,,,,,,,,
title:developingariskrecognitionsystembasedonalargelanguagemodelforautonomousdriving,W4412897644,10.3390/engproc2025102007,Developing a Risk Recognition System Based on a Large Language Model for Autonomous Driving,2025,2025-07-01,DOAJ (DOAJ: Directory of Open Access Journals),article,0,Knowledge-driven,0.7361,0.3306,0.6878,0.7078,False,,auto-discovered,"""surrogate safety"" ""autonomous driving""",,,,,,,,,
title:enhancingautonomousvehiclesecuritythroughadvancedartificialintelligencetechniques,W4403437924,10.61784/jcsee3017,ENHANCING AUTONOMOUS VEHICLE SECURITY THROUGH ADVANCED ARTIFICIAL INTELLIGENCE TECHNIQUES,2024,2024-01-01,Journal of Computer Science and Electrical Engineering,article,2,Perception-related,0.6564,0.2202,0.6978,0.7078,False,,auto-discovered,"""anomaly detection"" ""self-driving""",,,,,,,,,
title:evaluationofconventionalsurrogateindicatorsofsafetyforconnectedandautomatedvehiclesincarfollowingatsignalizedintersections,W4401513785,10.1177/03611981241265849,Evaluation of Conventional Surrogate Indicators of Safety for Connected and Automated Vehicles in Car Following at Signalized Intersections,2024,2024-08-12,Transportation Research Record Journal of the Transportation Research Board,article,8,Trajectory-related,0.7063,0.3918,0.6977,0.7077,False,,auto-discovered,"""surrogate safety"" ""automated driving""",,,,,,,,,
title:criteriaforuncertaintybasedcornercasesdetectionininstancesegmentation,W4394948377,10.48550/arxiv.2404.11266,Criteria for Uncertainty-based Corner Cases Detection in Instance Segmentation,2024,2024-04-17,arXiv (Cornell University),preprint,0,Perception-related,0.6617,0.3101,0.6977,0.7077,False,,auto-discovered,"""corner case"" ""automated driving""",,,,,,,,,
title:anexpertensemblefordetectinganomalousscenesinteractionsandbehaviorsinautonomousdriving,W4404593617,10.1177/02783649241297998,"An expert ensemble for detecting anomalous scenes, interactions, and behaviors in autonomous driving",2024,2024-11-21,The International Journal of Robotics Research,article,3,Perception-related,0.679,0.2623,0.6974,0.7074,False,,auto-discovered,"""anomaly detection"" ""autonomous driving""",,,,,,,,,
title:themvtecad2datasetadvancedscenariosforunsupervisedanomalydetection,W4415063196,10.1007/s11263-026-02743-0,The MVTec AD 2 Dataset: Advanced Scenarios for Unsupervised Anomaly Detection,2026,2026-03-09,International Journal of Computer Vision,article,13,Perception-related,0.7359,0.4702,0.6772,0.7072,False,,auto-discovered,"""anomaly detection"" ""autonomous driving""",,,,,,,,,
title:lightweighthybridforeignobjectdetectionframeworkwithsceneawareanduncertaintyfusionmechanism,W7163511244,10.1038/s41598-026-55994-9,Lightweight hybrid foreign object detection framework with scene aware and uncertainty fusion mechanism,2026,2026-06-04,Scientific Reports,article,0,Perception-related,0.7273,0.4147,0.6772,0.7072,False,,auto-discovered,"""novelty detection"" ""autonomous driving""",,,,,,,,,
title:evodriveparetoevolutionforsafetycriticalautonomousdrivingviaselfimprovingllmagents,W7163596617,,EvoDrive: Pareto Evolution for Safety-Critical Autonomous Driving via Self-Improving LLM Agents,2026,2026-06-02,arXiv (Cornell University),preprint,0,Trajectory-related,0.5863,0.2665,0.6766,0.7066,True,current-year zero-citation preprint; current-year missing DOI,auto-discovered,"""near-miss"" ""autonomous driving""",,,,,,,,,
title:developmentoftestcasesforautomatedvehicledrivingsafetyassessmentusingdrivingtrajectories,W4405367034,10.3390/s24247981,Development of Test Cases for Automated Vehicle Driving Safety Assessment Using Driving Trajectories,2024,2024-12-13,Sensors,article,3,Trajectory-related,0.7388,0.4228,0.6964,0.7064,False,,auto-discovered,"""scenario generation"" ""automated vehicle""",,,,,,,,,
title:asurveyofworldmodelsforautonomousdriving,W4406734973,10.48550/arxiv.2501.11260,A Survey of World Models for Autonomous Driving,2025,2025-01-20,arXiv (Cornell University),preprint,0,Trajectory-related,0.6095,0.2151,0.6863,0.7063,False,,auto-discovered,"""novelty detection"" ""autonomous driving""",,,,,,,,,
title:sealtowardssafeautonomousdrivingviaskillenabledadversarylearningforclosedloopscenariogeneration,W4412610856,10.1109/lra.2025.3592090,SEAL: Towards Safe Autonomous Driving via Skill-Enabled Adversary Learning for Closed-Loop Scenario Generation,2025,2025-07-23,IEEE Robotics and Automation Letters,article,3,Trajectory-related,0.6096,0.255,0.6862,0.7062,False,,auto-discovered,"""out-of-distribution"" ""autonomous driving""",,,,,,,,,
title:chainofthoughtforautonomousdrivingacomprehensivesurveyandfutureprospects,W4414588343,10.1109/tnnls.2026.3713682,Chain-of-Thought for Autonomous Driving: A Comprehensive Survey and Future Prospects,2026,2026-01-01,IEEE Transactions on Neural Networks and Learning Systems,article,0,Knowledge-driven,0.6537,0.2011,0.6762,0.7062,True,near relevance floor,auto-discovered,"""rare event"" ""autonomous driving""",,,,,,,,,
title:traversetrafficresponsiveautonomousvehicleexperienceamprareeventsimulationforenhancedsafety,W4400668565,10.48550/arxiv.2407.09466,TRAVERSE: Traffic-Responsive Autonomous Vehicle Experience &amp; Rare-event Simulation for Enhanced safety,2024,2024-07-12,arXiv (Cornell University),preprint,0,Trajectory-related,0.7479,0.3119,0.6959,0.7059,False,,auto-discovered,"""rare event"" ""autonomous driving""",,,,,,,,,
title:ambiegenasearchbasedframeworkforautonomoussystemstesting,W4313533512,10.48550/arxiv.2301.01234,AmbieGen: A Search-based Framework for Autonomous Systems Testing,2023,2023-01-01,arXiv (Cornell University),preprint,5,Trajectory-related,0.5999,0.3378,0.7055,0.7055,False,,auto-discovered,"""critical scenario"" ""automated driving""",,,,,,,,,
title:automatedevaluationoflargevisionlanguagemodelsonselfdrivingcornercases,W4394906449,10.48550/arxiv.2404.10595,Automated Evaluation of Large Vision-Language Models on Self-driving Corner Cases,2024,2024-04-16,arXiv (Cornell University),preprint,2,Perception-related,0.618,0.2731,0.6955,0.7055,False,,auto-discovered,"""corner case"" ""autonomous driving""",,,,,,,,,
title:preperapublicdatasetwithkeyperformanceindicatorsforthesafetyevaluationofdeeplearningvisualperceptionsystemsforselfdrivingcars,W4400598840,10.4271/12-08-01-0002,PREPER: A Public Dataset with Key Performance Indicators for the Safety Evaluation of Deep Learning Visual Perception Systems for Self-Driving Cars,2024,2024-07-01,SAE International Journal of Connected and Automated Vehicles,article,0,Trajectory-related,0.6952,0.2618,0.6955,0.7055,False,,auto-discovered,"""edge case"" ""self-driving""",,,,,,,,,
title:safeshiftsafetyinformeddistributionshiftsforrobusttrajectorypredictioninautonomousdriving,W4386875085,10.48550/arxiv.2309.08889,SafeShift: Safety-Informed Distribution Shifts for Robust Trajectory Prediction in Autonomous Driving,2023,2023-09-16,arXiv (Cornell University),preprint,0,Trajectory-related,0.7788,0.3729,0.7051,0.7051,False,,auto-discovered,"""rare event"" ""autonomous driving""",,,,,,,,,
title:scenariodiffusioncontrollabledrivingscenariogenerationwithdiffusion,W4388482559,10.48550/arxiv.2311.02738,Scenario Diffusion: Controllable Driving Scenario Generation With Diffusion,2023,2023-11-05,arXiv (Cornell University),preprint,8,Trajectory-related,0.701,0.3423,0.705,0.705,False,,auto-discovered,"""scenario generation"" ""autonomous driving""",,,,,,,,,
title:asurveyofdeeplearningbased3dobjectdetectionmethodsforautonomousdrivingacrossdifferentsensormodalities,W4413506084,10.3390/s25175264,A Survey of Deep Learning-Based 3D Object Detection Methods for Autonomous Driving Across Different Sensor Modalities,2025,2025-08-24,Sensors,article,11,Perception-related,0.6462,0.233,0.685,0.705,False,,auto-discovered,"""rare event"" ""autonomous driving""",,,,,,,,,
title:testingadasadsfromcriticalscenariostoautomatedtestingoracles,W4404118715,10.1007/s00502-024-01242-9,Testing ADAS/ADS – from critical scenarios to automated testing oracles,2024,2024-11-01,e+i Elektrotechnik und Informationstechnik,article,3,Trajectory-related,0.6818,0.3661,0.6949,0.7049,False,,auto-discovered,"""critical scenario"" ""autonomous driving""",,,,,,,,,
title:sensevadsentientandsemanticvideoanomalydetectionforautonomousdriving,W7167155162,,SENSE-VAD: Sentient and Semantic Video Anomaly Detection for Autonomous Driving,2026,2026-06-30,arXiv (Cornell University),preprint,0,Perception-related,0.6674,0.3673,0.6748,0.7048,True,current-year zero-citation preprint; current-year missing DOI,auto-discovered,"""near-miss"" ""autonomous driving""",,,,,,,,,
title:simulationbasedtestingandperformanceevaluationofvehiclesafetyfunctions,W4386531643,10.4271/12-07-01-0006,Simulation-Based Testing and Performance Evaluation of Vehicle Safety Functions,2023,2023-09-07,SAE International Journal of Connected and Automated Vehicles,article,3,Trajectory-related,0.6825,0.4057,0.7046,0.7046,False,,auto-discovered,"""critical scenario"" ""automated driving""",,,,,,,,,
title:anllmdrivenscenariogenerationpipelineusinganextendedscenicdslforautonomousdrivingsafetyvalidation,W7131475648,,An LLM-driven Scenario Generation Pipeline Using an Extended Scenic DSL for Autonomous Driving Safety Validation,2026,2026-02-24,arXiv (Cornell University),preprint,0,Knowledge-driven,0.7051,0.4473,0.6745,0.7045,True,current-year zero-citation preprint; current-year missing DOI,auto-discovered,"""near-miss"" ""autonomous driving""",,,,,,,,,
title:trafficsafetymeasuresandassessment,W4414611582,10.3390/app151910532,Traffic Safety Measures and Assessment,2025,2025-09-29,Applied Sciences,article,2,Trajectory-related,0.8036,0.3493,0.6841,0.7041,False,,auto-discovered,"""surrogate safety"" ""automated vehicle""",,,,,,,,,
title:howtoovercomecurseofdimensionalityforoutofdistributiondetection,W4390214624,10.48550/arxiv.2312.14452,How to Overcome Curse-of-Dimensionality for Out-of-Distribution Detection?,2023,2023-12-22,arXiv (Cornell University),preprint,1,Perception-related,0.6943,0.4141,0.7039,0.7039,False,,auto-discovered,"""out-of-distribution"" ""autonomous vehicle""",,,,,,,,,
title:visionlanguagehazardreasoningfordriverdistractionandworkloadestimation,W4415954181,10.1049/ell2.70466,Vision‐Language Hazard Reasoning for Driver Distraction and Workload Estimation,2025,2025-01-01,Electronics Letters,article,1,Trajectory-related,0.7054,0.3843,0.6839,0.7039,False,,auto-discovered,"""edge case"" ""automated driving""",,,,,,,,,
title:worldsenseenablingsafeautonomousnavigationunderrareeventscenarios,W7161596201,10.54097/xascnx14,WorldSense: Enabling Safe Autonomous Navigation Under Rare Event Scenarios,2026,2026-05-18,Journal of Computing and Electronic Information Management,article,0,Trajectory-related,0.7101,0.3246,0.6734,0.7034,False,,auto-discovered,"""rare event"" ""autonomous vehicle""",,,,,,,,,
title:investigatingdrivinginteractionsarobustmultiagentsimulationframeworkforautonomousvehicles,W4391673128,10.48550/arxiv.2402.04720,Investigating Driving Interactions: A Robust Multi-Agent Simulation Framework for Autonomous Vehicles,2024,2024-02-07,arXiv (Cornell University),preprint,0,Trajectory-related,0.6704,0.3484,0.6928,0.7028,False,,auto-discovered,"""surrogate safety"" ""autonomous driving""",,,,,,,,,
title:validationofhumanbenchmarkmodelsforautomateddrivingsystemapprovalhowcompetentandcarefularetheyreally,W4399758591,10.48550/arxiv.2406.09493,Validation of human benchmark models for Automated Driving System approval: How competent and careful are they really?,2024,2024-06-13,"White Rose Research Online (University of Leeds, The University of Sheffield, University of York)",article,0,Trajectory-related,0.7016,0.3095,0.6928,0.7028,False,,auto-discovered,"""surrogate safety"" ""automated driving""",,,,,,,,,
title:empoweringcornercasedetectioninautonomousvehicleswithmultimodallargelanguagemodels,W4404179356,10.1109/lsp.2024.3495557,Empowering Corner Case Detection in Autonomous Vehicles With Multimodal Large Language Models,2024,2024-11-08,IEEE Signal Processing Letters,article,8,Perception-related,0.6477,0.3094,0.6926,0.7026,False,,auto-discovered,"""corner case"" ""autonomous driving""",,,,,,,,,
title:suicidalpedestriangenerationofsafetycriticalscenariosforautonomousvehicles,W4386437573,10.48550/arxiv.2309.00249,Suicidal Pedestrian: Generation of Safety-Critical Scenarios for Autonomous Vehicles,2023,2023-09-01,arXiv (Cornell University),preprint,0,Trajectory-related,0.6831,0.3224,0.7025,0.7025,False,,auto-discovered,"""rare event"" ""autonomous vehicle""",,,,,,,,,
title:cascadedsafetyanalysisandtestscenariogenerationtechniquesforautonomousdrivingacasestudywithwatonobus,W4408992910,10.1007/s42154-024-00313-z,Cascaded Safety Analysis and Test Scenario Generation Techniques for Autonomous Driving: A Case Study with WATonoBus,2025,2025-03-28,Automotive Innovation,article,3,Trajectory-related,0.7158,0.3868,0.6823,0.7023,False,,auto-discovered,"""edge case"" ""autonomous driving""",,,,,,,,,
title:quantilebasedmaximumlikelihoodtrainingforoutlierdetection,W4387560713,10.48550/arxiv.2310.06085,Quantile-based Maximum Likelihood Training for Outlier Detection,2023,2023-08-20,arXiv (Cornell University),preprint,1,Perception-related,0.7086,0.4146,0.702,0.702,False,,auto-discovered,"""novelty detection"" ""autonomous driving""",,,,,,,,,
title:vehiclesafetyenvelopeadynamictwodimensionalsurrogatesafetyassessmentapproachfortrafficconflictidentification,W7166873706,10.1080/19439962.2026.2690506,Vehicle Safety Envelope: A dynamic two-dimensional surrogate safety assessment approach for traffic conflict identification,2026,2026-07-01,Journal of Transportation Safety & Security,article,0,Trajectory-related,0.7089,0.3887,0.6718,0.7018,False,,auto-discovered,"""surrogate safety"" ""autonomous driving""",,,,,,,,,
title:continualdrivingpolicyoptimizationwithclosedloopindividualizedcurricula,W4387076407,10.48550/arxiv.2309.14209,Continual Driving Policy Optimization with Closed-Loop Individualized Curricula,2023,2023-09-25,arXiv (Cornell University),preprint,1,Trajectory-related,0.7504,0.3667,0.7017,0.7017,False,,auto-discovered,"""safety-critical scenario"" ""automated driving""",,,,,,,,,
title:beyondflatunknownlabelsinopenworldobjectdetection,W4417123917,10.48550/arxiv.2510.09173,Beyond Flat Unknown Labels in Open-World Object Detection,2025,2025-10-10,arXiv (Cornell University),preprint,0,Perception-related,0.6982,0.3968,0.6813,0.7013,False,,auto-discovered,"""novelty detection"" ""autonomous driving""",,,,,,,,,
title:foundationmodelsforautonomousdrivingsystemsaninitialroadmap,W7151473412,10.1145/3807455,Foundation Models for Autonomous Driving Systems: An Initial Roadmap,2026,2026-04-07,ACM Transactions on Software Engineering and Methodology,article,0,Knowledge-driven,0.6952,0.3229,0.6713,0.7013,True,near seed-sim floor,auto-discovered,"""novelty detection"" ""autonomous driving""",,,,,,,,,
title:reviewofdriverbehaviourmodellingforhighwayonrampmerging,W4404917143,10.1049/itr2.12572,Review of driver behaviour modelling for highway on‐ramp merging,2024,2024-12-01,IET Intelligent Transport Systems,article,8,Trajectory-related,0.7241,0.2943,0.6913,0.7013,False,,auto-discovered,"""surrogate safety"" ""autonomous driving""",,,,,,,,,
title:dynamicallyexpandingcapacityofautonomousdrivingwithnearmissfocusedtrainingframework,W4399453626,10.48550/arxiv.2406.02865,Dynamically Expanding Capacity of Autonomous Driving with Near-Miss Focused Training Framework,2024,2024-06-05,arXiv (Cornell University),preprint,0,Trajectory-related,0.6608,0.2104,0.6911,0.7011,True,near relevance floor,auto-discovered,"""near-miss"" ""autonomous driving""",,,,,,,,,
title:llmbasedrealisticsafetycriticaldrivingvideogeneration,W4417182701,10.48550/arxiv.2507.01264,LLM-based Realistic Safety-Critical Driving Video Generation,2025,2025-07-02,arXiv (Cornell University),preprint,0,Trajectory-related,0.6479,0.4298,0.6809,0.7009,False,,auto-discovered,"""safety-critical scenario"" ""automated vehicle""",,,,,,,,,
title:identifyingriskydrivingbehaviorafieldstudyusinginstrumentedvehicles,W4385343023,10.1080/19427867.2023.2233782,Identifying risky driving behavior: a field study using instrumented vehicles,2023,2023-07-28,Transportation Letters,article,24,Trajectory-related,0.7428,0.4076,0.7009,0.7009,False,,auto-discovered,"""surrogate safety"" ""automated driving""",,,,,,,,,
title:safedriveknowledgeanddatadrivenrisksensitivedecisionmakingforautonomousvehicleswithlargelanguagemodels,W4405626016,10.48550/arxiv.2412.13238,SafeDrive: Knowledge- and Data-Driven Risk-Sensitive Decision-Making for Autonomous Vehicles with Large Language Models,2024,2024-12-17,arXiv (Cornell University),preprint,1,Knowledge-driven,0.7942,0.3909,0.6903,0.7003,False,,auto-discovered,"""corner case"" ""autonomous vehicle""",,,,,,,,,
title:evaluationofautomateddrivingsafetyinurbanmixedtrafficenvironments,W4405192213,10.1049/itr2.12602,Evaluation of automated driving safety in urban mixed traffic environments,2024,2024-12-01,IET Intelligent Transport Systems,article,5,Trajectory-related,0.6978,0.3127,0.6903,0.7003,False,,auto-discovered,"""surrogate safety"" ""automated driving""",,,,,,,,,
title:indivnetaregionadaptivesemanticimagesegmentationforautonomousdrivinginunstructuredenvironments,W4417518952,10.1038/s41598-025-32305-2,IndiVNet A region adaptive semantic image segmentation for autonomous driving in unstructured environments,2025,2025-12-20,Scientific Reports,article,1,Perception-related,0.5564,0.2359,0.6801,0.7001,False,,auto-discovered,"""edge case"" ""autonomous driving""",,,,,,,,,
title:howdohumanlikebehaviorsofconnectedautonomousvehiclesaffecttrafficconditionsinmixedtraffic,W4392810627,10.3390/su16062402,How Do Humanlike Behaviors of Connected Autonomous Vehicles Affect Traffic Conditions in Mixed Traffic?,2024,2024-03-14,Sustainability,article,7,Trajectory-related,0.7106,0.2766,0.69,0.7,False,,auto-discovered,"""surrogate safety"" ""autonomous driving""",,,,,,,,,
title:outofdistributiondetectionin3dapplicationsareview,W4410392015,10.1016/j.neucom.2026.134503,Out-of-distribution detection in 3D applications: A review,2026,2026-07-13,Neurocomputing,article,2,Perception-related,0.7379,0.3901,0.6697,0.6997,True,near seed-sim floor,auto-discovered,"""out-of-distribution"" ""autonomous driving""",,,,,,,,,
title:drivingincornercasearealworldadversarialclosedloopevaluationplatformforendtoendautonomousdriving,W4417529641,10.48550/arxiv.2512.16055,Driving in Corner Case: A Real-World Adversarial Closed-Loop Evaluation Platform for End-to-End Autonomous Driving,2025,2025-12-18,arXiv (Cornell University),preprint,0,Perception-related,0.573,0.2963,0.6797,0.6997,False,,auto-discovered,"""corner case"" ""self-driving""",,,,,,,,,
title:benchmarkingimageperturbationsfortestingautomateddrivingassistancesystems,W4406755587,10.48550/arxiv.2501.12269,Benchmarking Image Perturbations for Testing Automated Driving Assistance Systems,2025,2025-01-21,arXiv (Cornell University),preprint,2,Perception-related,0.6912,0.3165,0.6796,0.6996,False,,auto-discovered,"""corner case"" ""automated driving""",,,,,,,,,
title:adv0closedloopminmaxadversarialtrainingforlongtailrobustnessinautonomousdriving,W7139144477,,ADV-0: Closed-Loop Min-Max Adversarial Training for Long-Tail Robustness in Autonomous Driving,2026,2026-03-16,arXiv (Cornell University),preprint,0,Trajectory-related,0.5595,0.2022,0.6695,0.6995,True,near seed-sim floor; near relevance floor; current-year zero-citation preprint; current-year missing DOI,auto-discovered,"""near-miss"" ""autonomous driving""",,,,,,,,,
title:asurveyontheapplicationoflargelanguagemodelsinscenariobasedtestingofautomateddrivingsystems,W4416452616,10.48550/arxiv.2505.16587,A Survey on the Application of Large Language Models in Scenario-Based Testing of Automated Driving Systems,2025,2025-05-22,arXiv (Cornell University),preprint,0,Knowledge-driven,0.6316,0.352,0.6791,0.6991,False,,auto-discovered,"""corner case"" ""automated driving""",,,,,,,,,
title:analyzingscenariocriticalityandridersinterventionbehaviorduringhighlevelautonomousdrivingavrenabledapproachandempiricalinsights,W4389502877,10.1016/j.trc.2023.104451,Analyzing scenario criticality and rider’s intervention behavior during high-level autonomous driving: A VR-enabled approach and empirical insights,2023,2023-12-09,Transportation Research Part C Emerging Technologies,article,34,Trajectory-related,0.7123,0.3465,0.699,0.699,False,,auto-discovered,"""critical scenario"" ""autonomous driving""",,,,,,,,,
title:applyingadeepneuralnetworkandfeatureengineeringtoassesstheimpactofattacksonautonomousvehicles,W4412196062,10.3390/wevj16070388,Applying a Deep Neural Network and Feature Engineering to Assess the Impact of Attacks on Autonomous Vehicles,2025,2025-07-09,World Electric Vehicle Journal,article,1,Trajectory-related,0.6733,0.2418,0.6789,0.6989,False,,auto-discovered,"""edge case"" ""autonomous vehicle""",,,,,,,,,
title:anontologybasedapproachtowardstraceablebehaviorspecificationsinautomateddriving,W4403624501,10.48550/arxiv.2409.06607,An Ontology-based Approach Towards Traceable Behavior Specifications in Automated Driving,2024,2024-09-10,arXiv (Cornell University),preprint,0,Knowledge-driven,0.7499,0.5201,0.6887,0.6987,False,,auto-discovered,"""out-of-distribution"" ""automated driving""",,,,,,,,,
title:3csimcarlacornercasesimulationforcontrolassessmentinautonomousdriving,W4403704322,10.48550/arxiv.2409.10524,3CSim: CARLA Corner Case Simulation for Control Assessment in Autonomous Driving,2024,2024-08-30,arXiv (Cornell University),preprint,0,Trajectory-related,0.7287,0.3475,0.6887,0.6987,False,,auto-discovered,"""corner case"" ""automated driving""",,,,,,,,,
title:onlineoutofdomaindetectionforautomateddriving,W4387929358,10.48550/arxiv.2310.14675,Online Out-of-Domain Detection for Automated Driving,2023,2023-10-23,arXiv (Cornell University),preprint,0,Perception-related,0.7401,0.2919,0.6987,0.6987,False,,auto-discovered,"""out-of-distribution"" ""automated driving""",,,,,,,,,
title:optimizingautonomoustaxideploymentforsafetyatskewedintersectionsasimulationstudy,W4411024684,10.3390/s25113544,Optimizing Autonomous Taxi Deployment for Safety at Skewed Intersections: A Simulation Study,2025,2025-06-04,Sensors,article,1,Trajectory-related,0.6875,0.3329,0.6786,0.6986,False,,auto-discovered,"""surrogate safety"" ""autonomous driving""",,,,,,,,,
title:anoverviewoftransformersforvideoanomalydetection,W4410334387,10.1007/s00521-025-11218-1,An overview of transformers for video anomaly detection,2025,2025-05-12,Neural Computing and Applications,article,14,Perception-related,0.7216,0.519,0.6785,0.6985,False,,auto-discovered,"""anomaly detection"" ""autonomous driving""",,,,,,,,,
title:ananalysisofartificialintelligencetechniquesinsurveillancevideoanomalydetectionacomprehensivesurvey,W4365509076,10.3390/app13084956,An Analysis of Artificial Intelligence Techniques in Surveillance Video Anomaly Detection: A Comprehensive Survey,2023,2023-04-14,Applied Sciences,article,78,Perception-related,0.6404,0.395,0.6984,0.6984,False,,auto-discovered,"""anomaly detection"" ""autonomous vehicle""",,,,,,,,,
title:anacceleratedfilterforcriticalscenarioidentificationinautomateddrivingfunctiontestingamodelfreeapproach,W4406728099,10.1109/tits.2025.3529365,An Accelerated Filter for Critical Scenario Identification in Automated Driving Function Testing: A Model-Free Approach,2025,2025-01-22,IEEE Transactions on Intelligent Transportation Systems,article,3,Trajectory-related,0.6951,0.3292,0.6784,0.6984,False,,auto-discovered,"""safety-critical scenario"" ""automated driving""",,,,,,,,,
title:asurveyonautonomousdrivingdatasetsstatisticsannotationqualityandafutureoutlook,W4390601198,10.48550/arxiv.2401.01454,"A Survey on Autonomous Driving Datasets: Statistics, Annotation Quality, and a Future Outlook",2024,2024-01-02,arXiv (Cornell University),preprint,4,Perception-related,0.667,0.2234,0.6883,0.6983,False,,auto-discovered,"""edge case"" ""autonomous driving""",,,,,,,,,
title:findingdinoaplugandplayframeworkforzeroshotdetectionofoutofdistributionobjectsusingprototypes,W4394781920,10.48550/arxiv.2404.07664,Finding Dino: A Plug-and-Play Framework for Zero-Shot Detection of Out-of-Distribution Objects Using Prototypes,2024,2024-04-11,arXiv (Cornell University),preprint,0,Perception-related,0.7568,0.4216,0.6881,0.6981,False,,auto-discovered,"""out-of-distribution"" ""automated vehicle""",,,,,,,,,
title:studyingtrafficsafetyduringthetransitionperiodbetweenmanualdrivingandautonomousdrivingasimulationbasedapproach,W4321021928,10.1109/tits.2023.3241970,Studying Traffic Safety During the Transition Period Between Manual Driving and Autonomous Driving: A Simulation-Based Approach,2023,2023-02-16,IEEE Transactions on Intelligent Transportation Systems,article,53,Trajectory-related,0.7223,0.295,0.6981,0.6981,False,,auto-discovered,"""surrogate safety"" ""autonomous driving""",,,,,,,,,
