canonical_id,openalex_id,doi,title,year,publication_date,venue,work_type,cited_by,category,class_score,margin,seed_sim,rank_score,needs_review,review_reason,source,matched_query
title:autonomousvehiclestestingconsideringutilitybasedoperabletasks,W4377089896,10.26599/tst.2022.9010037,Autonomous Vehicles Testing Considering Utility-Based Operable Tasks,2023,,Tsinghua Science & Technology,,12,Trajectory-related,0.718,0.3609,0.7331,0.7331,False,,auto-discovered,"""critical scenario"" ""automated driving"""
title:riskawarevehicletrajectorypredictionundersafetycriticalscenarios,W4406457478,10.1109/tits.2025.3525744,Risk-Aware Vehicle Trajectory Prediction Under Safety-Critical Scenarios,2025,,IEEE Transactions on Intelligent Transportation Systems,,7,Trajectory-related,0.6763,0.3484,0.7131,0.7331,False,,auto-discovered,"""safety-critical scenario"" ""autonomous driving"""
title:howcertainarewethatourautomateddrivingsystemissafe,W4379093295,10.1080/15389588.2023.2186733,How certain are we that our automated driving system is safe?,2023,,Traffic Injury Prevention,,12,Trajectory-related,0.7388,0.3918,0.7324,0.7324,False,,auto-discovered,"""near-miss"" ""autonomous driving"""
title:safesimsafetycriticalclosedlooptrafficsimulationwithdiffusioncontrollableadversaries,W4390528731,10.48550/arxiv.2401.00391,SAFE-SIM: Safety-Critical Closed-Loop Traffic Simulation with Diffusion-Controllable Adversaries,2023,,arXiv (Cornell University),,1,Trajectory-related,0.6842,0.39,0.7312,0.7312,False,,auto-discovered,"""safety-critical scenario"" ""autonomous driving"""
title:safeshiftsafetyinformeddistributionshiftsforrobusttrajectorypredictioninautonomousdriving,W4400650193,10.1109/iv55156.2024.10588828,SafeShift: Safety-Informed Distribution Shifts for Robust Trajectory Prediction in Autonomous Driving,2024,,,,10,Trajectory-related,0.7918,0.4198,0.7203,0.7303,False,,auto-discovered,"""near-miss"" ""autonomous driving"""
title:freafeasibilityguidedgenerationofsafetycriticalscenarioswithreasonableadversariality,W4399447679,10.48550/arxiv.2406.02983,FREA: Feasibility-Guided Generation of Safety-Critical Scenarios with Reasonable Adversariality,2024,,arXiv (Cornell University),,0,Trajectory-related,0.6723,0.3476,0.7198,0.7298,False,,auto-discovered,"""safety-critical scenario"" ""autonomous vehicle"""
title:integratedscenariobasedanalysisadatadrivenapproachtosupportautomateddrivingsystemsdevelopmentandsafetyevaluation,W4401202404,10.48550/arxiv.2407.19975,Integrated Scenario-based Analysis: A data-driven approach to support automated driving systems development and safety evaluation,2024,,arXiv (Cornell University),,0,Trajectory-related,0.7449,0.399,0.7191,0.7291,False,,auto-discovered,"""rare event"" ""automated driving"""
title:adversarialsafetycriticalscenariogenerationusingnaturalistichumandrivingpriors,W4388936562,10.1109/tiv.2023.3335862,Adversarial Safety-Critical Scenario Generation Using Naturalistic Human Driving Priors,2023,,IEEE Transactions on Intelligent Vehicles,,23,Trajectory-related,0.7121,0.3191,0.7279,0.7279,False,,auto-discovered,"""corner case"" ""autonomous vehicle"""
title:advdiffusergeneratingadversarialsafetycriticaldrivingscenariosviaguideddiffusion,W4405785741,10.1109/iros58592.2024.10802408,AdvDiffuser: Generating Adversarial Safety-Critical Driving Scenarios via Guided Diffusion,2024,,,,9,Trajectory-related,0.6759,0.3104,0.7178,0.7278,False,,auto-discovered,"""safety-critical scenario"" ""autonomous driving"""
title:versatilebehaviordiffusionforgeneralizedtrafficagentsimulation,W4393968572,10.48550/arxiv.2404.02524,Versatile Behavior Diffusion for Generalized Traffic Agent Simulation,2024,,arXiv (Cornell University),,1,Trajectory-related,0.7265,0.3774,0.7175,0.7275,False,,auto-discovered,"""safety-critical scenario"" ""autonomous driving"""
title:pafotapositionbasedapproachforfindingoptimaltestsofautonomousvehicles,W4399491452,10.1145/3644032.3644457,PAFOT: A Position-Based Approach for Finding Optimal Tests of Autonomous Vehicles,2024,,,,3,Trajectory-related,0.6527,0.2746,0.7164,0.7264,False,,auto-discovered,"""near-miss"" ""autonomous driving"""
title:enhancingautonomousvehicletrainingwithlanguagemodelintegrationandcriticalscenariogeneration,W4394839142,10.48550/arxiv.2404.08570,Enhancing Autonomous Vehicle Training with Language Model Integration and Critical Scenario Generation,2024,,arXiv (Cornell University),,3,Trajectory-related,0.7092,0.302,0.7153,0.7253,False,,auto-discovered,"""rare event"" ""autonomous driving"""
title:strengtheningaivalidationandverificationinautonomousvehiclescomprehensiveanalysisandimprovementstokeystandards,W4412082708,10.1109/cai64502.2025.00289,Strengthening AI Validation and Verification in Autonomous Vehicles: Comprehensive Analysis and Improvements to Key Standards,2025,,,,2,Trajectory-related,0.7031,0.3756,0.7047,0.7247,False,,auto-discovered,"""edge case"" ""autonomous driving"""
title:fullcoveragetestingmethodforautomateddrivingsysteminlogicalscenarioparametersspace,W4414240617,10.3390/s25185764,Full Coverage Testing Method for Automated Driving System in Logical Scenario Parameters Space,2025,,Sensors,,0,Trajectory-related,0.6796,0.3269,0.7045,0.7245,False,,auto-discovered,"""scenario generation"" ""automated driving"""
title:mjtgamultivehiclejointtrajectorygeneratorforcomplexandrarescenarios,W4410153201,10.1109/tvt.2025.3567636,MJTG: A Multi-Vehicle Joint Trajectory Generator for Complex and Rare Scenarios,2025,,IEEE Transactions on Vehicular Technology,,3,Trajectory-related,0.7184,0.3881,0.7041,0.7241,False,,auto-discovered,"""scenario generation"" ""automated driving"""
title:tudatacomputervisiondatasetonroadtrafficanomalies,W4410598899,10.3390/s25113259,TU-DAT: A Computer Vision Dataset on Road Traffic Anomalies,2025,,Sensors,,5,Trajectory-related,0.7443,0.3487,0.704,0.724,False,,auto-discovered,"""anomaly detection"" ""autonomous vehicle"""
title:highrisktestscenariogenerationforautonomousvehiclesatroundaboutsusingnaturalisticdrivingdata,W4409606255,10.3390/app15084505,High-Risk Test Scenario Generation for Autonomous Vehicles at Roundabouts Using Naturalistic Driving Data,2025,,Applied Sciences,,5,Trajectory-related,0.7419,0.3542,0.7038,0.7238,False,,auto-discovered,"""critical scenario"" ""autonomous driving"""
title:vruaccidentavisionlanguagebenchmarkforvideoquestionansweringanddensecaptioningforaccidentsceneunderstanding,W7131161481,10.1109/iccvw69036.2025.00085,VRU-Accident: A Vision-Language Benchmark for Video Question Answering and Dense Captioning for Accident Scene Understanding,2025,,,,1,Trajectory-related,0.6353,0.3842,0.7028,0.7228,False,,auto-discovered,"""safety-critical scenario"" ""autonomous driving"""
title:anevolvingscenariogenerationmethodbasedondualmodaldrivermodeltrainedbymultiagentreinforcementlearning,W4416553128,10.48550/arxiv.2508.02027,An Evolving Scenario Generation Method based on Dual-modal Driver Model Trained by Multi-Agent Reinforcement Learning,2025,,ArXiv.org,,0,Trajectory-related,0.6902,0.2868,0.7022,0.7222,False,,auto-discovered,"""safety-critical scenario"" ""autonomous driving"""
title:seekingtocollideonlinesafetycriticalscenariogenerationforautonomousdrivingwithretrievalaugmentedlargelanguagemodels,W7136391790,10.1109/itsc60802.2025.11423790,Seeking to Collide: Online Safety-Critical Scenario Generation for Autonomous Driving with Retrieval Augmented Large Language Models,2025,,,,0,Trajectory-related,0.7112,0.4081,0.7017,0.7217,False,,auto-discovered,"""safety-critical scenario"" ""autonomous driving"""
title:genddsgeneratingdiversedrivingvideoscenarioswithprompttovideogenerativemodel,W4408696312,10.1109/itsc58415.2024.10920106,GenDDS: Generating Diverse Driving Video Scenarios with Prompt-to-Video Generative Model,2024,,,,4,Trajectory-related,0.6343,0.3172,0.7116,0.7216,False,,auto-discovered,"""scenario generation"" ""autonomous driving"""
title:foundationmodelsforrapidautonomyvalidation,W4413926114,10.1109/icra55743.2025.11127854,Foundation Models for Rapid Autonomy Validation,2025,,,,0,Trajectory-related,0.7386,0.3114,0.7015,0.7215,False,,auto-discovered,"""edge case"" ""autonomous vehicle"""
title:taskdrivencontrollablescenariogenerationframeworkbasedonaog,W4390905269,10.1109/tits.2023.3347535,Task-Driven Controllable Scenario Generation Framework Based on AOG,2024,,IEEE Transactions on Intelligent Transportation Systems,,14,Trajectory-related,0.6796,0.3792,0.7107,0.7207,False,,auto-discovered,"""scenario generation"" ""autonomous vehicle"""
title:utilizinggeneticalgorithmsforgeneratingcriticalscenariosfortestingautonomousdrivingfunctions,W4402835429,10.1109/aitest62860.2024.00017,Utilizing Genetic Algorithms for Generating Critical Scenarios for Testing Autonomous Driving Functions,2024,,,,2,Trajectory-related,0.691,0.2975,0.7104,0.7204,False,,auto-discovered,"""critical scenario"" ""autonomous driving"""
title:scenariogenerationforautonomousvehicleswithdeeplearningbasedheterogeneousdrivermodelsimplementationandverification,W4376630485,10.3390/s23094570,Scenario Generation for Autonomous Vehicles with Deep-Learning-Based Heterogeneous Driver Models: Implementation and Verification,2023,,Sensors,,11,Trajectory-related,0.7628,0.3597,0.72,0.72,False,,auto-discovered,"""rare event"" ""autonomous driving"""
title:cornersimavirtualizationframeworktogeneraterealisticcornercasescenariosforautonomousdrivingperceptiontesting,W4391246047,10.1016/j.procs.2024.06.014,CornerSim: A Virtualization Framework to Generate Realistic Corner-Case Scenarios for Autonomous Driving Perception Testing,2024,,Procedia Computer Science,,8,Trajectory-related,0.6484,0.2368,0.7099,0.7199,False,,auto-discovered,"""corner case"" ""autonomous driving"""
title:safetycriticalscenariogenerationviareinforcementlearningbasedediting,W4401417383,10.1109/icra57147.2024.10611555,Safety-Critical Scenario Generation Via Reinforcement Learning Based Editing,2024,,,,18,Trajectory-related,0.667,0.3306,0.7096,0.7196,False,,auto-discovered,"""safety-critical scenario"" ""autonomous vehicle"""
title:anapproachtosystematicdataacquisitionanddatadrivensimulationforthesafetytestingofautomateddrivingfunctions,W4391793349,10.1109/itsc57777.2023.10422676,An Approach to Systematic Data Acquisition and Data-Driven Simulation for the Safety Testing of Automated Driving Functions,2023,,,,10,Trajectory-related,0.7856,0.4175,0.7186,0.7186,False,,auto-discovered,"""near-miss"" ""autonomous driving"""
title:datadrivenconfigurablescenariogenerationfortestingautonomousdrivingsystemsinhighwayenvironments,W4413365058,10.1016/j.physa.2025.130923,Data-driven configurable scenario generation for testing autonomous driving systems in highway environments,2025,,Physica A Statistical Mechanics and its Applications,,0,Trajectory-related,0.6332,0.28,0.6984,0.7184,False,,auto-discovered,"""scenario generation"" ""autonomous driving"""
title:categorizingdatadrivenmethodsfortestscenariogenerationtoassessautomateddrivingsystems,W4393972868,10.1109/access.2024.3385646,Categorizing Data-Driven Methods for Test Scenario Generation to Assess Automated Driving Systems,2024,,IEEE Access,,12,Trajectory-related,0.6789,0.3527,0.7081,0.7181,False,,auto-discovered,"""corner case"" ""automated driving"""
title:criticalscenariotechniquesforautomatedvehiclesliteraturereview,W4327519667,10.11128/arep.21.a2124,Critical Scenario Techniques for Automated Vehicles: Literature Review,2023,,,,0,Trajectory-related,0.6791,0.3698,0.7176,0.7176,False,,auto-discovered,"""rare event"" ""automated driving"""
title:neuroncapphotorealisticclosedloopsafetytestingforautonomousdriving,W4394782038,10.48550/arxiv.2404.07762,NeuroNCAP: Photorealistic Closed-loop Safety Testing for Autonomous Driving,2024,,arXiv (Cornell University),,1,Trajectory-related,0.6945,0.3605,0.7076,0.7176,False,,auto-discovered,"""safety-critical scenario"" ""autonomous driving"""
title:safetyevaluationofautonomousdrivingbasedonsafetycriticalscenariogeneration,W4408696626,10.1109/itsc58415.2024.10920064,Safety Evaluation of Autonomous Driving Based on Safety-Critical Scenario Generation,2024,,,,1,Trajectory-related,0.7472,0.335,0.7074,0.7174,False,,auto-discovered,"""safety-critical scenario"" ""autonomous driving"""
title:cctestcriticalconfigurationtestingforautonomousdrivingsystems,W4412703979,10.1145/3696630.3728610,CCTest: Critical Configuration Testing for Autonomous Driving Systems,2025,,,,1,Trajectory-related,0.6421,0.3526,0.6973,0.7173,False,,auto-discovered,"""critical scenario"" ""autonomous driving"""
title:fixdriveautomaticallyrepairingautonomousvehicledrivingbehaviourfor008perviolation,W4411552192,10.1109/icse55347.2025.00216,FIXDRIVE: Automatically Repairing Autonomous Vehicle Driving Behaviour for $0.08 per Violation,2025,,,,3,Trajectory-related,0.7076,0.2913,0.697,0.717,False,,auto-discovered,"""near-miss"" ""autonomous driving"""
title:catclosedloopadversarialtrainingforsafeendtoenddriving,W4387838419,10.48550/arxiv.2310.12432,CAT: Closed-loop Adversarial Training for Safe End-to-End Driving,2023,,arXiv (Cornell University),,1,Trajectory-related,0.7186,0.3326,0.7169,0.7169,False,,auto-discovered,"""safety-critical scenario"" ""automated driving"""
title:connectedautomatedandhumandrivenvehiclemixedtrafficinurbanfreewayinterchangessafetyanalysisanddesignassumptions,W4394715973,10.3390/vehicles6020032,Connected Automated and Human-Driven Vehicle Mixed Traffic in Urban Freeway Interchanges: Safety Analysis and Design Assumptions,2024,,Vehicles,,8,Trajectory-related,0.6984,0.347,0.7067,0.7167,False,,auto-discovered,"""surrogate safety"" ""autonomous driving"""
title:realisticsafetycriticalscenariossearchforautonomousdrivingsystemviabehaviortree,W4376312073,10.48550/arxiv.2305.06603,Realistic Safety-critical Scenarios Search for Autonomous Driving System via Behavior Tree,2023,,arXiv (Cornell University),,0,Trajectory-related,0.7238,0.4043,0.7164,0.7164,False,,auto-discovered,"""safety-critical scenario"" ""autonomous driving"""
